"","x"
"Aberdeen, SD",1
"Aberdeen, WA",2
"Abilene, TX",1
"Ada, OK",2
"Adrian, MI",5
"Akron, OH",5
"Alamogordo, NM",1
"Albany, GA",2
"Albany, OR",10
"Albany-Schenectady-Troy, NY",4
"Albemarle, NC",2
"Albert Lea, MN",3
"Albertville, AL",2
"Albuquerque, NM",1
"Alexandria, LA",2
"Alexandria, MN",10
"Alice, TX",2
"Allentown-Bethlehem-Easton, PA-NJ",4
"Alma, MI",5
"Alpena, MI",5
"Altoona, PA",4
"Altus, OK",1
"Amarillo, TX",1
"Americus, GA",7
"Ames, IA",8
"Amsterdam, NY",3
"Andrews, TX",1
"Ann Arbor, MI",8
"Anniston-Oxford-Jacksonville, AL",2
"Appleton, WI",3
"Arcadia, FL",2
"Ardmore, OK",2
"Arkadelphia, AR",2
"Arkansas City-Winfield, KS",3
"Asheville, NC",4
"Ashland, OH",9
"Ashtabula, OH",5
"Astoria, OR",1
"Atchison, KS",1
"Athens, OH",9
"Athens, TN",2
"Athens, TX",2
"Athens-Clarke County, GA",8
"Atlanta-Sandy Springs-Roswell, GA",6
"Atlantic City-Hammonton, NJ",4
"Auburn, IN",9
"Auburn, NY",3
"Auburn-Opelika, AL",8
"Augusta-Richmond County, GA-SC",4
"Augusta-Waterville, ME",4
"Austin, MN",3
"Austin-Round Rock, TX",4
"Bainbridge, GA",2
"Bakersfield, CA",11
"Baltimore-Columbia-Towson, MD",6
"Bangor, ME",10
"Baraboo, WI",3
"Bardstown, KY",3
"Barnstable Town, MA",4
"Barre, VT",9
"Bartlesville, OK",3
"Bastrop, LA",2
"Batavia, NY",5
"Batesville, AR",2
"Baton Rouge, LA",2
"Battle Creek, MI",5
"Bay City, MI",5
"Bay City, TX",2
"Beatrice, NE",3
"Beaumont-Port Arthur, TX",2
"Beaver Dam, WI",3
"Beckley, WV",10
"Bedford, IN",10
"Beeville, TX",2
"Bellefontaine, OH",10
"Bellingham, WA",4
"Bemidji, MN",4
"Bend-Redmond, OR",4
"Bennettsville, SC",1
"Bennington, VT",10
"Berlin, NH-VT",10
"Big Rapids, MI",10
"Big Spring, TX",1
"Big Stone Gap, VA",2
"Billings, MT",1
"Binghamton, NY",4
"Birmingham-Hoover, AL",4
"Bismarck, ND",1
"Blacksburg-Christiansburg-Radford, VA",8
"Bloomington, IL",3
"Bloomington, IN",8
"Bloomsburg-Berwick, PA",4
"Bluefield, WV-VA",10
"Blytheville, AR",7
"Bogalusa, LA",2
"Boise City, ID",4
"Boone, IA",3
"Boone, NC",8
"Borger, TX",1
"Boston-Cambridge-Newton, MA-NH",6
"Boulder, CO",8
"Bowling Green, KY",2
"Bozeman, MT",8
"Brainerd, MN",3
"Branson, MO",2
"Bremerton-Silverdale, WA",4
"Brevard, NC",1
"Bridgeport-Stamford-Norwalk, CT",6
"Brookhaven, MS",9
"Brookings, SD",8
"Brownsville-Harlingen, TX",10
"Brownwood, TX",1
"Brunswick, GA",4
"Bucyrus, OH",5
"Buffalo-Cheektowaga-Niagara Falls, NY",5
"Burlington, IA-IL",3
"Burlington, NC",4
"Burlington-South Burlington, VT",8
"Butte-Silver Bow, MT",4
"Cadillac, MI",2
"Calhoun, GA",2
