"","x"
"Aberdeen, SD",1
"Aberdeen, WA",2
"Abilene, TX",1
"Ada, OK",2
"Adrian, MI",4
"Akron, OH",4
"Alamogordo, NM",1
"Albany, GA",2
"Albany, OR",2
"Albany-Schenectady-Troy, NY",5
"Albemarle, NC",5
"Albert Lea, MN",5
"Albertville, AL",5
"Albuquerque, NM",1
"Alexandria, LA",3
"Alexandria, MN",5
"Alice, TX",3
"Allentown-Bethlehem-Easton, PA-NJ",7
"Alma, MI",4
"Alpena, MI",4
"Altoona, PA",5
"Altus, OK",2
"Amarillo, TX",1
"Americus, GA",6
"Ames, IA",8
"Amsterdam, NY",5
"Andrews, TX",1
"Angola, IN",4
"Ann Arbor, MI",8
"Anniston-Oxford-Jacksonville, AL",3
"Appleton, WI",5
"Arcadia, FL",3
"Ardmore, OK",3
"Arkadelphia, AR",2
"Arkansas City-Winfield, KS",2
"Asheville, NC",2
"Ashland, OH",4
"Ashtabula, OH",4
"Astoria, OR",2
"Atchison, KS",2
"Athens, OH",8
"Athens, TN",3
"Athens, TX",3
"Athens-Clarke County, GA",8
"Atlanta-Sandy Springs-Roswell, GA",7
"Atlantic City-Hammonton, NJ",2
"Auburn, IN",4
"Auburn, NY",5
"Auburn-Opelika, AL",8
"Augusta-Richmond County, GA-SC",2
"Augusta-Waterville, ME",5
"Austin, MN",5
"Austin-Round Rock, TX",2
"Bainbridge, GA",6
"Bakersfield, CA",7
"Baltimore-Columbia-Towson, MD",7
"Bangor, ME",2
"Baraboo, WI",5
"Bardstown, KY",5
"Barnstable Town, MA",2
"Barre, VT",1
"Bartlesville, OK",2
"Bastrop, LA",3
"Batavia, NY",5
"Batesville, AR",3
"Baton Rouge, LA",1
"Battle Creek, MI",4
"Bay City, MI",5
"Bay City, TX",3
"Beatrice, NE",1
"Beaumont-Port Arthur, TX",3
"Beaver Dam, WI",5
"Beckley, WV",5
"Bedford, IN",5
"Beeville, TX",3
"Bellefontaine, OH",4
"Bellingham, WA",2
"Bemidji, MN",2
"Bend-Redmond, OR",2
"Bennettsville, SC",3
"Bennington, VT",2
"Berlin, NH-VT",5
"Big Rapids, MI",2
"Big Spring, TX",1
"Big Stone Gap, VA",3
"Billings, MT",2
"Binghamton, NY",5
"Birmingham-Hoover, AL",7
"Bismarck, ND",1
"Blackfoot, ID",5
"Blacksburg-Christiansburg-Radford, VA",2
"Bloomington, IL",2
"Bloomington, IN",8
"Bloomsburg-Berwick, PA",5
"Bluefield, WV-VA",5
"Blytheville, AR",6
"Bogalusa, LA",3
"Boise City, ID",2
"Boone, IA",5
"Boone, NC",8
"Borger, TX",1
"Boston-Cambridge-Newton, MA-NH",7
"Boulder, CO",8
"Bowling Green, KY",2
"Bozeman, MT",2
"Bradford, PA",5
"Brainerd, MN",5
"Branson, MO",5
"Bremerton-Silverdale, WA",2
"Brevard, NC",2
"Bridgeport-Stamford-Norwalk, CT",7
"Brookhaven, MS",3
"Brookings, OR",2
"Brookings, SD",8
"Brownsville-Harlingen, TX",3
"Brownwood, TX",3
"Brunswick, GA",2
"Bucyrus, OH",4
"Buffalo-Cheektowaga-Niagara Falls, NY",7
"Burley, ID",5
"Burlington, IA-IL",5
"Burlington, NC",3
