"","x"
"Barre, VT",1
"Farmington, NM",1
"Fort Dodge, IA",1
"Menomonie, WI",1
"Lewisburg, TN",1
"Riverton, WY",1
"Rock Springs, WY",1
"El Dorado, AR",1
"York-Hanover, PA",1
"Faribault-Northfield, MN",8
"Lake Charles, LA",1
"Snyder, TX",2
"Woodward, OK",1
"Washington, IN",1
"Jamestown-Dunkirk-Fredonia, NY",1
"Andrews, TX",2
"Lawrenceburg, TN",1
"Hastings, NE",8
"McAllen-Edinburg-Mission, TX",1
"Baton Rouge, LA",3
"Pittsburg, KS",3
"Midland, TX",2
"Marinette, WI-MI",8
"McPherson, KS",8
"Abilene, TX",2
"Atchison, KS",8
"Laurel, MS",5
"Kirksville, MO",3
"Bellefontaine, OH",6
"Goldsboro, NC",1
"Effingham, IL",8
"Muscatine, IA",1
"Bozeman, MT",3
"St. Joseph, MO-KS",2
"Paragould, AR",1
"Lebanon, PA",1
"Enid, OK",2
"Red Wing, MN",8
"Williston, ND",2
"Emporia, KS",3
"Medford, OR",3
"Logan, WV",5
"Beatrice, NE",2
"Mount Sterling, KY",5
"Madison, IN",6
"Lawrence, KS",3
"Jamestown, ND",8
"Janesville-Beloit, WI",8
"Evanston, WY",5
"Tupelo, MS",5
"Greenville, OH",6
"Blytheville, AR",5
"Forrest City, AR",5
"Fernley, NV",9
"Merrill, WI",8
"Las Vegas-Henderson-Paradise, NV",2
"Longview, TX",5
"Easton, MD",1
"Bay City, TX",9
"Levelland, TX",2
"East Stroudsburg, PA",1
"Columbus, MS",5
"Mansfield, OH",6
"Truckee-Grass Valley, CA",1
"Amsterdam, NY",6
"Cambridge, OH",6
"Calhoun, GA",5
"St. George, UT",9
"Dickinson, ND",2
"Mitchell, SD",8
"North Wilkesboro, NC",5
"Aberdeen, SD",8
"Coshocton, OH",6
"Dalton, GA",5
"Elkins, WV",5
"Magnolia, AR",5
"Eugene, OR",3
"Gaffney, SC",5
"Mason City, IA",8
"Newton, IA",8
"Decatur, IL",7
"Shreveport-Bossier City, LA",5
"Laramie, WY",3
"Moses Lake, WA",9
"Elk City, OK",2
"Gulfport-Biloxi-Pascagoula, MS",5
"Morgan City, LA",5
"Richmond, IN",6
"Midland, MI",6
"Mount Pleasant, TX",6
"Platteville, WI",8
"Carlsbad-Artesia, NM",2
"Cheyenne, WY",9
"Sulphur Springs, TX",9
"Albert Lea, MN",8
"Great Bend, KS",8
"Scottsboro, AL",5
"Huntington, IN",6
"Elko, NV",9
"Carbondale-Marion, IL",5
"Michigan City-La Porte, IN",6
"Brookhaven, MS",5
"Elkhart-Goshen, IN",6
"Hobbs, NM",2
"Ludington, MI",6
"Ponca City, OK",2
"Decatur, AL",6
"Plainview, TX",2
"Dodge City, KS",2
"Victoria, TX",9
"Peoria, IL",7
"Corsica, TX",5
"Beeville, TX",9
"Defiance, OH",6
"Grants, NM",2
"Wabash, IN",6
"The Villages, FL",9
"tchitoches, LA",1
"Bradford, PA",9
"Wausau, WI",8
"Longview, WA",9
"Garden City, KS",2
"Troy, AL",5
"Hays, KS",3
"Angola, IN",6
"Summerville, GA",5
"Iowa City, IA",3
"Glens Falls, NY",6
"Clinton, IA",7
"Wahpeton, ND-MN",8
"Selma, AL",1
"Somerset, KY",5
"Mountain Home, ID",9
"Pierre, SD",2
"DeRidder, LA",5
"Lexington, NE",1
"Corpus Christi, TX",2
"Clarksburg, WV",6
"Brookings, SD",3
"Watertown, SD",8
"Greenfield Town, MA",6
"Marshalltown, IA",6
"Kearney, NE",8
"Newberry, SC",5
"Liberal, KS",2
"Jefferson, GA",9
"Columbus, NE",8
"Bainbridge, GA",5
"Madisonville, KY",6
"Ocala, FL",9
"New Orleans-Metairie, LA",5
"Cedar Rapids, IA",8
"Evansville, IN-KY",7
"Hannibal, MO",6
"Sheridan, WY",9
"Brownwood, TX",9
"Burley, ID",9
"Fort Madison-Keokuk, IA-IL-MO",6
"Fergus Falls, MN",8
"Athens, TN",5
