GEOID,ME,MELSAD,z_AQI,z_Education,z_Poverty,z_Gini,z_Stability,z_SevHous,z_PoorH2OQual,z_AvgLandCOver,z_PoorHealth,z_Water,z_Black,z_Asian,z_Hispanic,z_GHG,z_Unemploy,z_Food,z_Crime,z_Female
10780,"Alexandria, LA","Alexandria, LA Metro Area",0.20,-0.53,0.26,0.67,0.81,-0.06,-0.04,-0.06,1.05,-0.85,-0.190569193,-0.343664651,0.480090715,-0.27,0.18,0.64,3.13,0.701017482
10820,"Alexandria, MN","Alexandria, MN Micro Area",0.82,0.26,-1.41,-0.36,0.34,-0.83,-0.27,-0.81,-1.05,0.23,1.513838035,-0.623954154,0.432525692,-0.41,-1.32,-1.54,-1.03,-0.235700958
10860,"Alice, TX","Alice, TX Micro Area",-0.05,-1.33,0.77,1.08,0.97,0.44,-0.87,-0.44,2.11,0.21,-0.725180055,4.024834730,0.730302612,-0.19,-0.47,-1.05,1.52,NA
10900,"Allentown-Bethlehem-Easton, PA-NJ","Allentown-Bethlehem-Easton, PA-NJ Metro Area",-1.96,0.61,-1.01,-0.40,0.51,0.23,0.23,0.47,-0.52,-0.04,0.044126807,0.081788284,-0.545476115,-0.58,-0.05,-1.21,-0.57,-0.554616991
10940,"Alma, MI","Alma, MI Micro Area",-0.04,-0.94,0.40,0.49,0.09,-0.41,3.57,-1.50,0.16,-0.12,-1.538497982,0.998119364,-0.402451834,-0.50,0.15,-0.18,-0.58,2.288509944
10980,"Alpena, MI","Alpena, MI Micro Area",-0.04,-0.65,-0.42,-0.83,0.53,-0.82,2.90,0.89,-0.33,-0.88,-1.681696285,0.142089911,2.183604841,-0.25,0.10,-0.31,-0.03,0.513765154
11020,"Altoona, PA","Altoona, PA Metro Area",-0.70,-0.30,-0.39,-0.36,0.97,-0.62,-0.39,0.71,0.68,-0.51,-0.393365374,0.454999725,0.719018302,-0.45,-0.66,-0.37,-0.47,-0.489622298
11060,"Altus, OK","Altus, OK Micro Area",-0.09,-0.21,0.03,-0.51,-2.00,-0.31,-0.59,-0.59,0.27,2.76,0.255151971,0.030714669,-0.509458551,-0.34,-0.78,-0.01,-0.08,-2.142202294
11100,"Amarillo, TX","Amarillo, TX Metro Area",-0.02,0.06,-0.42,0.14,-0.80,0.11,-0.77,0.72,0.37,3.71,-0.817836479,-0.996842331,-0.440406092,0.21,-1.36,0.36,1.50,0.261882338
11140,"Americus, GA","Americus, GA Micro Area",1.09,-0.76,2.07,0.82,-1.13,1.31,-0.56,0.62,-0.66,-0.03,-0.146755371,-0.323385473,1.482906460,-0.60,1.91,2.61,1.70,0.106665904
11180,"Ames, IA","Ames, IA Metro Area",0.97,3.17,0.62,0.42,-4.17,0.98,-0.59,-1.67,-1.87,-0.25,0.665981685,-0.446964889,0.337759180,-0.16,-0.88,0.42,-0.92,NA
11220,"Amsterdam, NY","Amsterdam, NY Micro Area",0.73,-0.68,0.26,-0.03,0.48,0.59,0.28,-0.62,-0.79,-0.47,-0.071977265,-0.772411514,-0.624254901,1.16,0.28,-0.53,-0.92,0.329510538
11380,"Andrews, TX","Andrews, TX Micro Area",-0.05,-1.50,-0.89,-0.03,0.30,-0.24,-0.94,-0.17,2.18,4.28,-1.004563220,7.790104017,-0.010407545,2.79,-0.89,-1.49,1.03,-1.377978018
11420,"Angola, IN","Angola, IN Micro Area",0.01,-0.30,-1.16,-1.94,-0.06,-1.43,3.19,-1.48,-0.59,-0.68,NA,-0.546126167,-0.348262403,0.61,-0.61,-0.89,-1.32,-1.130611870
11460,"Ann Arbor, MI","Ann Arbor, MI Metro Area",-0.16,3.59,-0.50,0.77,-2.02,0.50,3.22,-1.53,-1.27,-0.29,-0.094361016,-0.119027779,0.508148277,-0.45,-0.49,-0.10,-0.03,-0.106031353
11500,"Anniston-Oxford-Jacksonville, AL","Anniston-Oxford-Jacksonville, AL Metro Area",0.24,-0.58,0.12,0.26,-0.55,-0.21,-0.54,0.29,1.16,-0.85,0.408890362,-0.348922257,-0.070637829,-0.18,1.52,0.75,2.48,-0.517951646
11540,"Appleton, WI","Appleton, WI Metro Area",-0.01,0.63,-1.47,-1.63,1.02,-1.12,-0.13,-1.19,-1.34,-0.22,-0.526551258,-1.046975447,-0.547831593,-0.32,-1.53,-1.49,-0.90,-0.238770704
11580,"Arcadia, FL","Arcadia, FL Micro Area",0.60,-1.31,1.80,-0.21,-0.01,0.97,-0.62,0.21,-0.05,0.67,-0.587373746,3.364980505,-1.176964217,-0.77,0.26,0.53,0.73,5.156715111
11620,"Ardmore, OK","Ardmore, OK Micro Area",-0.19,-0.29,-0.21,0.39,-0.08,-0.45,-0.36,-0.04,0.53,0.80,-0.090154445,0.423108058,-0.461172992,-0.04,-0.55,0.50,2.00,0.057588564
11660,"Arkadelphia, AR","Arkadelphia, AR Micro Area",1.27,0.40,0.55,-0.13,-1.25,-0.02,-0.87,0.95,1.01,-0.62,0.442037446,-0.173145147,-0.387909201,0.22,0.10,1.76,0.12,NA
11680,"Arkansas City-Winfield, KS","Arkansas City-Winfield, KS Micro Area",1.04,-0.30,-0.27,-0.88,-0.87,-0.80,-0.07,-0.09,-0.27,0.48,0.203136867,-0.521478323,-0.300304601,-0.18,-0.52,0.07,0.14,0.689456026
11700,"Asheville, NC","Asheville, NC Metro Area",-0.43,1.28,-0.63,0.01,0.27,-0.07,-0.04,1.09,-0.17,-0.21,-0.352674957,-0.513427212,-0.493095903,-0.47,-0.67,-0.48,-0.50,0.485691284
11740,"Ashland, OH","Ashland, OH Micro Area",-0.13,-0.31,-0.54,-1.45,0.06,-0.53,3.01,-0.47,-0.59,-0.52,2.499442459,0.155278763,2.225318922,-0.22,-0.69,-0.15,-1.14,0.051826294
11780,"Ashtabula, OH","Ashtabula, OH Micro Area",0.77,-1.09,0.29,-0.71,0.88,-0.05,1.92,-0.88,0.44,-0.48,-0.397282955,0.228362544,-0.385615602,-0.03,0.18,0.31,-0.96,0.078420423
11820,"Astoria, OR","Astoria, OR Micro Area",0.13,0.18,-0.84,-1.12,-1.11,0.96,-0.55,1.28,-0.72,0.21,2.722952932,0.800110715,-0.021791245,0.25,-0.26,-0.15,-0.80,-0.224016450
11860,"Atchison, KS","Atchison, KS Micro Area",1.04,-0.26,0.10,1.21,0.18,-1.27,-0.20,-1.67,-0.79,-0.22,0.564615798,-2.177875931,-0.072938024,2.11,-0.32,0.80,-0.11,NA
11900,"Athens, OH","Athens, OH Micro Area",0.75,0.76,1.85,1.76,-3.22,2.02,1.89,0.19,0.03,-0.72,2.035198945,1.296548224,3.874687218,-0.73,0.67,1.62,-1.09,-0.175780776
11940,"Athens, TN","Athens, TN Micro Area",0.39,-0.86,0.28,-0.04,0.72,-0.14,0.10,0.64,2.61,-0.46,0.153927209,2.382114707,0.981682117,0.40,0.38,-0.10,1.14,-2.251053896
11980,"Athens, TX","Athens, TX Micro Area",-0.05,-0.55,0.03,0.21,0.37,-0.26,-0.66,0.10,0.88,-0.44,0.056507464,-0.585315855,-0.455394805,0.15,-0.25,1.32,0.17,-0.229694642
12020,"Athens-Clarke County, GA","Athens-Clarke County, GA Metro Area",0.02,1.54,1.13,1.77,-1.48,1.28,-0.33,0.40,-0.14,-0.09,-0.293600519,0.235761200,-0.665820706,0.04,-0.02,0.84,0.06,0.578482378
12060,"Atlanta-Sandy Springs-Roswell, GA","Atlanta-Sandy Springs-Roswell, GA Metro Area",-2.82,1.61,-0.59,0.57,-0.20,0.63,-0.45,0.56,-0.79,-0.53,0.317551395,-0.458702826,-0.404758849,-0.54,0.22,0.06,0.53,-0.179239751
12100,"Atlantic City-Hammonton, NJ","Atlantic City-Hammonton, NJ Metro Area",0.57,0.42,-0.38,0.27,0.55,2.63,0.50,-0.61,0.36,-0.21,-0.195428250,-0.768297594,-0.651390982,-0.50,1.57,-0.29,0.36,0.388975460
12140,"Auburn, IN","Auburn, IN Micro Area",0.01,-0.59,-0.80,-1.21,0.41,-1.31,3.19,-1.48,-0.57,-0.79,3.549703149,-1.237220210,2.422461137,-0.63,-0.51,-0.64,-1.06,-0.815901235
12180,"Auburn, NY","Auburn, NY Micro Area",0.73,-0.06,-0.93,-0.93,0.51,-0.80,0.97,-0.14,-0.94,-0.57,-1.030783855,-0.642757327,-0.012127745,-0.93,-0.26,-0.91,-0.37,0.489469720
12220,"Auburn-Opelika, AL","Auburn-Opelika, AL Metro Area",0.24,1.37,0.62,1.51,-1.53,1.16,-0.55,0.51,0.19,-0.40,-0.103243468,0.137336842,0.486360496,-0.57,-0.56,1.11,0.59,-0.788398641
12260,"Augusta-Richmond County, GA-SC","Augusta-Richmond County, GA-SC Metro Area",-0.77,0.22,0.04,0.38,0.23,0.09,-0.43,0.51,-0.15,0.22,0.030457273,0.192282541,0.219983463,-0.14,0.70,0.63,0.08,-0.235443466
12300,"Augusta-Waterville, ME","Augusta-Waterville, ME Micro Area",1.27,0.43,-0.56,-0.86,-0.03,-0.24,-0.67,1.27,-0.46,-0.39,-1.235125254,-0.141908517,1.707463116,-0.79,-0.23,0.63,-0.77,0.823554068
12380,"Austin, MN","Austin, MN Micro Area",0.82,-0.26,-0.72,-0.14,-0.01,-0.55,-0.53,-1.33,-0.90,-0.45,0.482836856,-1.101907722,-1.442432414,0.08,-0.65,-1.41,-0.56,-0.018747047
12420,"Austin-Round Rock, TX","Austin-Round Rock, TX Metro Area",-0.62,2.29,-0.83,0.25,-0.97,0.82,-0.70,0.18,-0.71,0.21,0.003224233,-0.282590639,-0.387222740,-0.45,-0.81,0.09,-0.03,-0.221474918
12460,"Bainbridge, GA","Bainbridge, GA Micro Area",-0.24,-0.92,0.94,1.88,0.51,1.40,-0.46,0.62,0.72,0.30,0.237200263,2.877000335,0.635879252,0.46,-0.35,1.79,2.05,0.133114348
12540,"Bakersfield, CA","Bakersfield, CA Metro Area",-4.64,-0.82,0.71,0.23,-0.27,2.49,-0.79,0.90,1.35,0.98,0.432132569,0.266349242,-0.441004751,0.08,1.61,-0.10,1.31,-0.498591691
12580,"Baltimore-Columbia-Towson, MD","Baltimore-Columbia-Towson, MD Metro Area",-1.93,1.80,-1.10,0.02,0.39,0.33,0.06,-0.14,-0.52,0.04,0.174169069,-0.208087089,0.498694070,-0.70,-0.32,-0.67,1.87,0.016514740
12620,"Bangor, ME","Bangor, ME Metro Area",0.79,0.37,-0.29,-0.09,-0.06,0.28,-0.89,1.31,-0.38,-0.21,-0.011320508,-0.214547194,1.587979009,-0.76,-0.10,0.31,-1.23,0.496129381
12660,"Baraboo, WI","Baraboo, WI Micro Area",0.49,0.05,-0.98,-1.20,0.37,-0.35,-0.83,-1.12,-1.27,-0.61,-0.990010877,-0.721472937,0.704414504,0.21,-1.04,-1.19,-1.09,0.327128846
12680,"Bardstown, KY","Bardstown, KY Micro Area",-0.06,-0.62,-0.96,-0.10,0.74,-0.48,0.35,-0.11,0.47,-0.59,0.689164815,-0.847015002,-2.079324652,0.04,-0.17,-0.42,-1.11,-0.391387236
12700,"Barnstable Town, MA","Barnstable Town, MA Metro Area",1.07,2.15,-1.54,0.12,1.33,0.75,0.59,-0.61,-1.52,-0.88,-0.543760978,-1.038111856,0.305424774,-0.60,-0.48,-1.57,0.50,-0.020263882
12740,"Barre, VT","Barre, VT Micro Area",0.51,2.01,-0.90,-0.92,0.65,-0.01,0.74,1.36,-1.29,-0.61,0.575174322,-0.241296872,1.452324041,13.47,-1.11,-0.72,-1.15,1.140109663
12780,"Bartlesville, OK","Bartlesville, OK Micro Area",-0.09,0.46,-0.57,0.61,-0.64,-0.93,-0.05,-0.44,-0.25,0.30,-0.468159052,0.923712950,-0.301999765,0.25,-1.02,0.23,-0.38,-0.481714650
12820,"Bastrop, LA","Bastrop, LA Micro Area",-0.56,-1.04,1.46,1.62,2.12,-0.19,-0.42,-0.06,1.76,-0.45,0.205545063,-1.716486232,-1.065740100,-0.50,0.18,2.50,1.45,2.266182927
12860,"Batavia, NY","Batavia, NY Micro Area",0.73,-0.18,-0.75,-1.53,1.07,-0.77,1.34,-0.14,-0.83,-0.70,-0.892354632,0.513054491,-0.601834904,-0.24,-0.80,-1.00,-0.49,-0.313833782
12900,"Batesville, AR","Batesville, AR Micro Area",0.65,-0.57,0.10,0.46,-0.17,-0.35,-0.79,0.09,1.01,-0.83,-0.477847119,0.268787442,-1.544173929,-0.20,-0.32,0.45,1.04,1.967888708
12940,"Baton Rouge, LA","Baton Rouge, LA Metro Area",-1.89,0.53,-0.14,0.63,0.13,0.17,-0.14,-0.04,0.16,-0.57,-0.014682383,-0.189129425,0.576898327,2.42,-0.27,0.34,1.10,-0.485899438
12980,"Battle Creek, MI","Battle Creek, MI Metro Area",-0.04,-0.22,-0.06,-0.35,-0.24,-0.22,3.46,-1.39,0.38,-0.46,-0.122609012,-0.422879954,0.361392652,-0.50,0.32,-0.01,1.86,-0.082194127
13020,"Bay City, MI","Bay City, MI Metro Area",0.53,-0.45,-0.23,-0.42,0.65,-0.65,2.30,-0.36,-0.57,-0.11,-0.380884927,0.188654557,0.153524375,0.30,0.21,-0.59,0.11,-0.160561285
13060,"Bay City, TX","Bay City, TX Micro Area",-0.05,-0.94,0.41,0.46,1.16,0.27,-0.72,-0.99,1.07,0.95,0.262602513,-0.828921685,-0.126052354,1.24,-0.57,0.89,0.21,-3.248178541
13100,"Beatrice, NE","Beatrice, NE Micro Area",1.03,-0.30,-1.30,-1.79,0.67,-1.35,-0.37,-1.13,0.19,0.35,0.406779946,-1.088796327,-1.359552163,1.54,-1.47,-0.48,0.71,0.130498235
13140,"Beaumont-Port Arthur, TX","Beaumont-Port Arthur, TX Metro Area",-0.97,-0.61,-0.11,0.82,0.09,-0.09,-0.67,-0.12,-0.30,-0.72,0.021737590,-0.271927787,-0.061691821,-0.48,-0.14,2.18,1.23,-0.140335293
13180,"Beaver Dam, WI","Beaver Dam, WI Micro Area",0.09,-0.78,-1.35,-2.08,0.27,-0.74,-0.49,-1.56,-0.34,-0.59,-1.306845759,-1.425664350,-0.740677991,-0.27,-1.01,-1.32,-1.21,1.339030314
13220,"Beckley, WV","Beckley, WV Metro Area",1.25,-0.67,0.10,-0.17,1.23,-1.24,0.41,1.23,1.51,-0.61,-0.085939874,0.873618099,1.587103854,0.22,0.15,0.21,0.53,0.635740384
13260,"Bedford, IN","Bedford, IN Micro Area",0.01,-0.78,-0.95,-1.54,1.12,-1.05,1.41,-0.11,0.86,-0.73,-0.742760549,0.944337022,1.238912941,-0.22,-0.73,-0.31,0.04,0.007508786
13300,"Beeville, TX","Beeville, TX Micro Area",-0.05,-1.57,0.28,0.47,-0.57,0.16,-0.87,-0.77,0.23,0.61,-0.478408525,-2.040421412,-0.047136981,0.64,-0.56,0.04,-0.31,NA
13340,"Bellefontaine, OH","Bellefontaine, OH Micro Area",-0.13,-0.90,-0.62,-1.10,0.53,-0.87,3.19,-1.58,0.05,-0.72,1.201165371,1.050613829,2.003186824,1.94,-0.62,-0.37,-1.13,-0.469199696
13380,"Bellingham, WA","Bellingham, WA Metro Area",0.65,1.24,-0.38,-0.24,-0.90,1.19,-0.85,0.72,-0.94,-0.30,0.903435335,-0.869142114,-0.754095285,-0.75,0.05,0.01,-0.63,-0.992511305
13420,"Bemidji, MN","Bemidji, MN Micro Area",1.16,0.46,0.18,-0.29,-0.45,-0.05,-0.54,-0.16,-1.01,-0.53,-0.288282580,0.098665816,0.701600546,-0.46,0.99,-0.31,-0.28,0.900618754
13460,"Bend-Redmond, OR","Bend-Redmond, OR Metro Area",0.68,1.23,-0.86,-0.22,-0.59,1.36,-0.48,1.71,-1.44,-0.42,0.800250770,-0.935378879,-0.004064021,-0.71,-0.19,-0.26,-0.77,-0.687658179
13500,"Bennettsville, SC","Bennettsville, SC Micro Area",0.42,-1.61,1.31,0.14,0.93,-0.25,-0.65,0.62,2.20,0.28,0.739984706,1.311360541,-0.864590192,0.26,2.91,2.06,3.24,5.265900329
13540,"Bennington, VT","Bennington, VT Micro Area",0.85,1.30,-0.75,-0.05,0.67,0.81,0.59,1.36,-0.70,-0.35,-0.853081070,-0.647018957,2.721404906,-0.83,-0.81,-0.48,-0.84,1.195116239
13620,"Berlin, NH-VT","Berlin, NH-VT Micro Area",0.23,-0.60,-0.62,-0.81,0.51,0.10,0.87,1.36,0.29,-0.56,-1.376697546,-1.577525211,0.872770827,-0.43,-0.32,-0.61,-0.96,2.667974136
13660,"Big Rapids, MI","Big Rapids, MI Micro Area",-0.04,-0.14,0.70,0.07,-0.71,0.30,3.11,0.89,-1.33,-0.14,2.087311218,0.038262198,0.815832382,0.24,1.17,0.23,1.54,-0.360197024
13700,"Big Spring, TX","Big Spring, TX Micro Area",-0.05,-1.10,-0.60,0.45,-0.29,-0.65,-0.95,1.07,1.82,4.49,-0.320197421,0.002169037,-0.477792512,-0.46,-0.42,-0.08,1.53,2.530505976
13720,"Big Stone Gap, VA","Big Stone Gap, VA Micro Area",0.36,-1.15,0.50,1.49,0.88,-0.46,-0.05,0.71,1.42,-0.47,-1.504680507,1.788707622,1.476705995,-0.27,0.86,0.30,-0.49,0.353415772
13740,"Billings, MT","Billings, MT Metro Area",0.73,0.83,-1.14,0.11,-0.24,-0.31,-0.78,1.39,-0.61,1.11,-0.078139457,-1.013785907,-0.788921844,-0.49,-1.43,-0.89,0.25,-0.349421496
13780,"Binghamton, NY","Binghamton, NY Metro Area",0.73,0.50,-0.29,0.02,0.11,-0.07,0.25,0.34,-0.55,-0.36,-0.330305333,-0.008136162,0.418091123,-0.93,-0.11,-0.45,-0.19,-0.189506661
13820,"Birmingham-Hoover, AL","Birmingham-Hoover, AL Metro Area",-2.20,0.74,-0.32,0.83,0.13,-0.07,-0.60,0.48,0.36,-0.78,0.124182255,0.008056235,-0.417107938,-0.10,-0.07,0.52,1.85,-0.282227771
13900,"Bismarck, ND","Bismarck, ND Metro Area",0.73,1.06,-1.27,-0.39,0.06,-1.25,-0.66,0.33,-1.12,1.72,0.676760713,0.487569224,0.267693177,-0.04,-1.85,-2.07,-0.42,0.597901555
13940,"Blackfoot, ID","Blackfoot, ID Micro Area",0.77,-0.42,-0.71,-1.89,0.46,-0.51,-0.20,1.36,0.05,-0.72,NA,-0.462486381,-0.589679309,-0.28,-0.35,-0.86,-0.80,-1.446318971
13980,"Blacksburg-Christiansburg-Radford, VA","Blacksburg-Christiansburg-Radford, VA Metro Area",0.47,1.17,0.43,0.62,-1.44,0.12,0.02,0.84,-0.63,-0.42,0.379494689,0.605573365,1.845419941,-0.11,-0.73,-0.20,-0.62,-0.068444394
14010,"Bloomington, IL","Bloomington, IL Metro Area",0.45,2.22,-0.51,0.03,-0.55,-0.63,-0.51,-1.72,-0.78,-0.82,-0.212199178,-0.152248434,-0.370062501,-0.09,-1.01,-0.55,-0.16,-0.928451986
14020,"Bloomington, IN","Bloomington, IN Metro Area",-0.06,2.03,0.85,1.42,-3.52,1.35,1.41,-0.92,-0.35,-0.82,1.184882313,0.075874707,1.393820825,0.26,-0.35,0.84,-0.22,0.397926060
14100,"Bloomsburg-Berwick, PA","Bloomsburg-Berwick, PA Metro Area",-0.40,0.09,-0.47,0.16,0.69,-0.68,-0.20,0.70,-0.28,-0.30,0.224086406,0.440374375,0.278788635,0.13,-0.84,-0.49,-0.62,0.388804265
14140,"Bluefield, WV-VA","Bluefield, WV-VA Micro Area",0.32,-0.58,0.19,0.47,0.58,-0.86,0.27,0.71,1.71,-0.48,0.416548314,1.134123201,1.327109516,-0.29,-0.19,0.08,0.27,0.355648861
14180,"Blytheville, AR","Blytheville, AR Micro Area",0.65,-1.23,1.16,0.67,-1.04,0.39,-0.57,-0.85,1.72,-0.78,0.102051748,1.999293523,0.335519118,1.35,1.24,2.74,3.75,-1.203795982
14220,"Bogalusa, LA","Bogalusa, LA Micro Area",-0.56,-1.23,1.27,0.80,0.18,0.28,0.17,0.41,1.85,-0.44,0.035203312,0.791636608,-0.395444566,-0.52,2.04,1.16,2.04,0.819431369
14260,"Boise City, ID","Boise City, ID Metro Area",-0.81,0.91,-0.60,0.10,-0.64,0.11,-0.26,1.49,-0.47,-0.72,0.433655592,-0.458901947,-0.609330082,-0.73,-0.48,-0.36,-0.39,-0.849970112
14340,"Boone, IA","Boone, IA Micro Area",-0.20,0.14,-1.26,-1.46,0.16,-0.64,-0.63,-1.67,-1.35,-0.25,-0.658060047,0.266166262,1.914459600,-0.42,-1.22,-0.94,-0.17,0.277508222
14380,"Boone, NC","Boone, NC Micro Area",0.90,2.15,1.57,2.22,-2.44,2.79,-0.01,1.09,-0.62,-0.27,-0.046835229,-1.526998781,-1.184890398,-1.05,0.47,1.05,-1.04,0.507898488
14420,"Borger, TX","Borger, TX Micro Area",-0.05,-1.06,-0.21,-0.35,0.76,-1.09,-0.87,0.72,1.72,3.08,-0.142645639,0.524276011,0.037418569,-0.18,-1.00,0.59,0.96,-1.142489840
14460,"Boston-Cambridge-Newton, MA-NH","Boston-Cambridge-Newton, MA-NH Metro Area",-1.60,2.69,-1.17,0.85,0.27,0.73,1.35,0.09,-0.95,-0.25,-0.214587671,-0.524695576,-0.508284572,-0.89,-0.48,-1.37,0.10,-0.305994747
14500,"Boulder, CO","Boulder, CO Metro Area",-0.31,4.29,-0.71,0.80,-1.86,1.10,-0.23,0.88,-1.37,0.12,0.187466659,-0.635260782,-0.565755154,-0.58,-0.74,-0.56,-0.36,-1.407287169
14540,"Bowling Green, KY","Bowling Green, KY Metro Area",-0.01,0.25,0.13,0.41,-1.37,-0.04,-0.32,-0.60,0.48,-0.53,0.449034812,-0.776918259,-0.719603893,0.19,-0.24,0.27,-0.67,0.347695579
14580,"Bozeman, MT","Bozeman, MT Micro Area",0.58,2.96,-0.72,0.37,-1.60,0.05,-0.38,1.40,-1.53,0.04,0.382876416,-0.578365577,-0.356443409,1.75,-0.86,-0.53,-0.46,-0.222808850
14620,"Bradford, PA","Bradford, PA Micro Area",-0.40,-0.63,-0.08,-0.22,0.41,-1.02,-0.43,1.58,0.51,-0.49,NA,-0.694348886,1.259860351,0.62,0.10,-0.12,-0.11,-0.581957787
14660,"Brainerd, MN","Brainerd, MN Micro Area",0.96,0.09,-0.96,-0.31,0.83,-0.29,-0.42,0.04,-0.29,-0.21,-0.660141694,-0.992726213,-0.265098082,0.08,-0.99,-0.96,-0.54,-0.423504778
14700,"Branson, MO","Branson, MO Micro Area",1.03,-0.57,-0.35,-0.64,-0.45,-0.27,-0.44,0.14,0.56,-0.86,-0.046143980,-0.388970499,-0.377022490,-0.29,0.05,0.36,0.47,0.622558753
14740,"Bremerton-Silverdale, WA","Bremerton-Silverdale, WA Metro Area",1.36,1.01,-1.19,-0.96,-0.87,0.02,-0.70,0.08,-0.73,0.19,-0.010246613,-0.884862416,0.270086356,-1.05,-0.22,-0.42,-0.25,-1.077531675
14820,"Brevard, NC","Brevard, NC Micro Area",0.00,0.80,-0.35,-0.41,0.39,-0.90,-0.15,1.09,-1.07,-0.24,1.975503145,-1.354812871,0.042204821,-0.77,-0.34,-0.45,-0.98,-0.138493647
14860,"Bridgeport-Stamford-Norwalk, CT","Bridgeport-Stamford-Norwalk, CT Metro Area",-1.27,2.70,-1.35,2.94,0.74,1.68,1.21,0.44,-1.20,0.09,-0.523326979,-0.239420121,-0.684500153,-0.89,0.23,-1.19,-0.39,-0.982307116
15020,"Brookhaven, MS","Brookhaven, MS Micro Area",0.89,-0.91,0.86,0.39,1.58,-0.57,-0.34,0.25,1.55,-0.57,0.201253341,-1.755838764,5.025341426,0.75,0.17,1.41,-1.11,0.700357813
15060,"Brookings, OR","Brookings, OR Micro Area",0.13,0.06,-0.35,-0.43,-1.11,0.45,1.25,1.41,0.79,-0.44,NA,-0.740838706,0.934190110,-0.83,1.25,0.20,-1.11,0.178133376
15100,"Brookings, SD","Brookings, SD Micro Area",0.82,2.00,-0.29,-0.68,-2.44,-0.58,-0.31,-1.63,-1.53,0.29,0.650705954,-0.150964812,-1.209634641,0.55,-1.50,-0.34,-1.07,1.607489242
15180,"Brownsville-Harlingen, TX","Brownsville-Harlingen, TX Metro Area",-0.37,-0.66,2.00,1.15,1.33,2.24,-0.85,-0.99,2.54,-0.83,2.871537719,1.947383469,0.693143169,0.07,0.68,-0.97,0.06,0.110696543
